ObjectID	X	Y	Z	Timepoint	Radius	Precursors	Color
94	359.015625	212.3046875	90	231	10	"{7, 82, 84, 85}"	"RGBColor[0.529590936488972, 0.7322882320147169, 0.42659172321958455]"
94	361.890625	221.6484375	83	299	10	"{7, 82, 84, 85}"	"RGBColor[0.529590936488972, 0.7322882320147169, 0.42659172321958455]"
95	337.453125	218.7734375	90	231	10	"{7, 82, 84, 85}"	"RGBColor[0.3547058930478709, 0.6483315349181974, 0.6556371242960977]"
95	339.609375	236.7421875	72	300	10	"{7, 82, 84, 85}"	"RGBColor[0.3547058930478709, 0.6483315349181974, 0.6556371242960977]"
96	359.734375	215.8984375	83	300	10	"{7, 82, 84, 85, 94}"	"RGBColor[0.8591997021276112, 0.14548721728793276, 0.1346433955766416]"
97	366.921875	229.5546875	83	300	10	"{7, 82, 84, 85, 94}"	"RGBColor[0.2485190554034097, 0.3865008334455336, 0.8133541480812441]"
98	353.984375	190.7421875	97	154	10	"{7, 82, 83}"	"RGBColor[0.9020083671601388, 0.5131489249647625, 0.20327944551175442]"
98	353.265625	190.7421875	95	214	10	"{7, 82, 83}"	"RGBColor[0.9020083671601388, 0.5131489249647625, 0.20327944551175442]"
99	335.296875	192.8984375	97	154	10	"{7, 82, 83}"	"RGBColor[0.282963729640339, 0.5285222385721428, 0.7759259482528676]"
99	330.984375	197.9296875	94	216	10	"{7, 82, 83}"	"RGBColor[0.282963729640339, 0.5285222385721428, 0.7759259482528676]"
100	330.984375	189.3046875	93	217	10	"{7, 82, 83, 99}"	"RGBColor[0.8653515106229236, 0.19355066729309625, 0.14305009628358167]"
100	322.359375	210.8671875	79	300	10	"{7, 82, 83, 99}"	"RGBColor[0.8653515106229236, 0.19355066729309625, 0.14305009628358167]"
101	332.421875	206.5546875	93	217	10	"{7, 82, 83, 99}"	"RGBColor[0.36302589350798486, 0.6574507077330962, 0.6418244162390089]"
101	328.828125	224.5234375	76	300	10	"{7, 82, 83, 99}"	"RGBColor[0.36302589350798486, 0.6574507077330962, 0.6418244162390089]"
102	350.390625	183.5546875	95	215	10	"{7, 82, 83, 98}"	"RGBColor[0.35455468647928334, 0.648137031851726, 0.6558975573174214]"
102	347.515625	184.9921875	98	288	10	"{7, 82, 83, 98}"	"RGBColor[0.35455468647928334, 0.648137031851726, 0.6558975573174214]"
103	356.140625	197.9296875	95	215	10	"{7, 82, 83, 98}"	"RGBColor[0.841253670452121, 0.6870337851301274, 0.24439571217144385]"
103	348.953125	205.8359375	89	280	10	"{7, 82, 83, 98}"	"RGBColor[0.841253670452121, 0.6870337851301274, 0.24439571217144385]"
104	354.703125	200.8046875	93	281	10	"{7, 82, 83, 98, 103}"	"RGBColor[0.5210034317957245, 0.7310308260916167, 0.4340729148307596]"
104	354.703125	202.2421875	95	300	10	"{7, 82, 83, 98, 103}"	"RGBColor[0.5210034317957245, 0.7310308260916167, 0.4340729148307596]"
105	344.640625	204.3984375	88	281	10	"{7, 82, 83, 98, 103}"	"RGBColor[0.44703132036351545, 0.7076225137532065, 0.5198277102399006]"
105	346.796875	207.9921875	78	300	10	"{7, 82, 83, 98, 103}"	"RGBColor[0.44703132036351545, 0.7076225137532065, 0.5198277102399006]"
106	344.640625	185.7109375	94	289	10	"{7, 82, 83, 98, 102}"	"RGBColor[0.31157441360940574, 0.5928497850802319, 0.7299253090571967]"
106	340.328125	191.4609375	91	300	10	"{7, 82, 83, 98, 102}"	"RGBColor[0.31157441360940574, 0.5928497850802319, 0.7299253090571967]"
107	348.234375	191.4609375	97	289	10	"{7, 82, 83, 98, 102}"	"RGBColor[0.8536024030144874, 0.6780113297900181, 0.24005074464355466]"
107	344.640625	189.3046875	97	300	10	"{7, 82, 83, 98, 102}"	"RGBColor[0.8536024030144874, 0.6780113297900181, 0.24005074464355466]"
109	302.234375	192.1796875	95	78	10	"{7, 81}"	"RGBColor[0.8682074920385553, 0.21586415772286005, 0.14695291299253713]"
109	300.078125	200.8046875	99	148	10	"{7, 81}"	"RGBColor[0.8682074920385553, 0.21586415772286005, 0.14695291299253713]"
110	306.546875	207.9921875	93	78	10	"{7, 81}"	"RGBColor[0.870101515028106, 0.23066196544659875, 0.14954117373201697]"
110	302.0546875	223.8945313	93	131	10	"{7, 81}"	"RGBColor[0.870101515028106, 0.23066196544659875, 0.14954117373201697]"
111	307.984375	197.9296875	99	149	10	"{7, 81, 109}"	"RGBColor[0.5269832515234355, 0.7319064076503211, 0.4288634647307245]"
