0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 -0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 1.125 -1.13423 0 3 0.29365 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 0.374998 -1.1327 0 3 0.295957 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 -1.125 -1.13424 0 3 0.293631 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 -0.375007 -1.13271 0 3 0.295939 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
10 -1.24587 -1.08424 0 99 0.190938 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24572 -1.08388 0 100 0.191223 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24558 -1.08351 0 101 0.191508 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24544 -1.08315 0 102 0.191793 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2453 -1.08279 0 103 0.192078 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24516 -1.08243 0 104 0.192362 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24502 -1.08207 0 105 0.192646 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24488 -1.0817 0 106 0.192929 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24474 -1.08134 0 107 0.193212 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2446 -1.08098 0 108 0.193495 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24446 -1.08062 0 109 0.193777 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24431 -1.08026 0 110 0.194059 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24417 -1.07989 0 111 0.194341 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24403 -1.07953 0 112 0.194622 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24389 -1.07917 0 113 0.194903 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24375 -1.07881 0 114 0.195184 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24361 -1.07844 0 115 0.195464 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24347 -1.07808 0 116 0.195744 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24333 -1.07772 0 117 0.196023 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24319 -1.07736 0 118 0.196302 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24305 -1.077 0 119 0.196581 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24291 -1.07663 0 120 0.196859 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24276 -1.07627 0 121 0.197137 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24262 -1.07591 0 122 0.197415 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24248 -1.07555 0 123 0.197692 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24234 -1.07518 0 124 0.197969 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2422 -1.07482 0 125 0.198245 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24206 -1.07446 0 126 0.198521 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24192 -1.0741 0 127 0.198797 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24178 -1.07374 0 128 0.199073 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24164 -1.07337 0 129 0.199348 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2415 -1.07301 0 130 0.199622 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
